//Mod11 Stormcrow
// S TileA N TileB
BBBAAAAA 0419 000 000
ABBAAAAA 0419 000 000
BBAAAAAA 0419 000 000
ABAAAAAA 0419 000 000
BABAAAAA 0419 000 000
// E TileA W TileB
BAAAAABB 0418 000 000
BAAAAAAB 0418 000 000
AAAAAABB 0418 000 000
AAAAAAAB 0418 000 000
BAAAAABA 0418 000 000
// W TileA E TileB
AABBBAAA 0416 000 000
AAABBAAA 0416 000 000
AABBAAAA 0416 000 000
AAABAAAA 0416 000 000
AABABAAA 0416 000 000
// N TileA S TileB
AAAABBBA 0417 000 000
AAAAABBA 0417 000 000
AAAABBAA 0417 000 000
AAAAABAA 0417 000 000
AAAABABA 0417 000 000
// NW corner is TileA
AABBBBBA 041c 000 000
AAABBBBA 041c 000 000
AABBBBAA 041c 000 000
AAABBBAA 041c 000 000
AAABABAA 041c 000 000
AABABBAA 041c 000 000
AABABBBA 041c 000 000
AABAABBA 041c 000 000
AAABBABA 041c 000 000
AABBBABA 041c 000 000
AABBABBA 041c 000 000
AABBAABA 041c 000 000
AABAABAA 041c 000 000
AAABAABA 041c 000 000
AABBABAA 041c 000 000
AABABABA 041c 000 000
AAABABBA 041c 000 000
// SE corner is TileA
BBBAAABB 041a 000 000
BBAAAABB 041a 000 000
BBBAAAAB 041a 000 000
BBAAAAAB 041a 000 000
BABAAAAB 041a 000 000
BBAAAABA 041a 000 000
ABBAAABA 041a 000 000
BABAAABA 041a 000 000
BBBAAABA 041a 000 000
ABAAAAAB 041a 000 000
BABAAABB 041a 000 000
AABAAABB 041a 000 000
ABBAAABB 041a 000 000
AABAAAAB 041a 000 000
ABAAAABB 041a 000 000
ABAAAABA 041a 000 000
ABBAAAAB 041a 000 000
// NE corner is TileA
BAAABBBB 041d 000 000
AAAABBBB 041d 000 000
BAAAABBB 041d 000 000
AAAAABBB 041d 000 000
AAAAABAB 041d 000 000
BAAABAAB 041d 000 000
BAAABBBA 041d 000 000
BAAAABBA 041d 000 000
BAAAABAA 041d 000 000
AAAABABB 041d 000 000
BAAABABB 041d 000 000
BAAABBAA 041d 000 000
BAAABBAB 041d 000 000
AAAABBAB 041d 000 000
AAAABAAB 041d 000 000
BAAABABA 041d 000 000
BAAAABAB 041d 000 000
// SW corner is TileA
BBBBBAAA 041b 000 000
BBBBAAAA 041b 000 000
ABBBBAAA 041b 000 000
ABBBAAAA 041b 000 000
BAABBAAA 041b 000 000
BABBAAAA 041b 000 000
BABBBAAA 041b 000 000
BBAABAAA 041b 000 000
ABAABAAA 041b 000 000
BBBABAAA 041b 000 000
BBABAAAA 041b 000 000
ABBABAAA 041b 000 000
ABABAAAA 041b 000 000
BAABAAAA 041b 000 000
BABABAAA 041b 000 000
ABABBAAA 041b 000 000
BBABBAAA 041b 000 000
// NW Corner is TileB
BAAAAAAA 042b 000 000
// SE Corner is TileB
AAAABAAA 0429 000 000
// NE Corner is TileB
AABAAAAA 042c 000 000
// SW Corner is TileB
AAAAAABA 042a 000 000
// Stormcrow Autocorrect
AAABAAAB 03e9 000 000
AAABAABB 03e9 000 000
AAABABAB 03e9 000 000
AAABABBB 03e9 000 000
AAABBAAB 03e9 000 000
AAABBABB 03e9 000 000
AAABBBAB 03e9 000 000
AAABBBBB 03e9 000 000
AABAABAB 03e9 000 000
AABAABBB 03e9 000 000
AABABAAB 03e9 000 000
AABABABB 03e9 000 000
AABABBAB 03e9 000 000
AABABBBB 03e9 000 000
AABBAAAB 03e9 000 000
AABBAABB 03e9 000 000
AABBABAB 03e9 000 000
AABBABBB 03e9 000 000
AABBBAAB 03e9 000 000
AABBBABB 03e9 000 000
AABBBBAB 03e9 000 000
AABBBBBB 03e9 000 000
ABAAABAA 03e9 000 000
ABAAABAB 03e9 000 000
ABAAABBA 03e9 000 000
ABAAABBB 03e9 000 000
ABAABAAB 03e9 000 000
ABAABABA 03e9 000 000
ABAABABB 03e9 000 000
ABAABBAA 03e9 000 000
ABAABBAB 03e9 000 000
ABAABBBA 03e9 000 000
ABAABBBB 03e9 000 000
ABABAAAB 03e9 000 000
