//Mod11 Stormcrow
// S TileA N TileB
BBBAAAAA 04b6 000 000
ABBAAAAA 04b6 000 000
BBAAAAAA 04b6 000 000
ABAAAAAA 04b6 000 000
BABAAAAA 04b6 000 000
// E TileA W TileB
BAAAAABB 04b3 000 000
BAAAAAAB 04b3 000 000
AAAAAABB 04b3 000 000
AAAAAAAB 04b3 000 000
BAAAAABA 04b3 000 000
// W TileA E TileB
AABBBAAA 04b5 000 000
AAABBAAA 04b5 000 000
AABBAAAA 04b5 000 000
AAABAAAA 04b5 000 000
AABABAAA 04b5 000 000
// N TileA S TileB
AAAABBBA 04b4 000 000
AAAAABBA 04b4 000 000
AAAABBAA 04b4 000 000
AAAAABAA 04b4 000 000
AAAABABA 04b4 000 000
// NW corner is TileA
AABBBBBA 04b7 000 000
AAABBBBA 04b7 000 000
AABBBBAA 04b7 000 000
AAABBBAA 04b7 000 000
AAABABAA 04b7 000 000
AABABBAA 04b7 000 000
AABABBBA 04b7 000 000
AABAABBA 04b7 000 000
AAABBABA 04b7 000 000
AABBBABA 04b7 000 000
AABBABBA 04b7 000 000
AABBAABA 04b7 000 000
AABAABAA 04b7 000 000
AAABAABA 04b7 000 000
AABBABAA 04b7 000 000
AABABABA 04b7 000 000
AAABABBA 04b7 000 000
// SE corner is TileA
BBBAAABB 04ba 000 000
BBAAAABB 04ba 000 000
BBBAAAAB 04ba 000 000
BBAAAAAB 04ba 000 000
BABAAAAB 04ba 000 000
BBAAAABA 04ba 000 000
ABBAAABA 04ba 000 000
BABAAABA 04ba 000 000
BBBAAABA 04ba 000 000
ABAAAAAB 04ba 000 000
BABAAABB 04ba 000 000
AABAAABB 04ba 000 000
ABBAAABB 04ba 000 000
AABAAAAB 04ba 000 000
ABAAAABB 04ba 000 000
ABAAAABA 04ba 000 000
ABBAAAAB 04ba 000 000
// NE corner is TileA
BAAABBBB 04b8 000 000
AAAABBBB 04b8 000 000
BAAAABBB 04b8 000 000
AAAAABBB 04b8 000 000
AAAAABAB 04b8 000 000
BAAABAAB 04b8 000 000
BAAABBBA 04b8 000 000
BAAAABBA 04b8 000 000
BAAAABAA 04b8 000 000
AAAABABB 04b8 000 000
BAAABABB 04b8 000 000
BAAABBAA 04b8 000 000
BAAABBAB 04b8 000 000
AAAABBAB 04b8 000 000
AAAABAAB 04b8 000 000
BAAABABA 04b8 000 000
BAAAABAB 04b8 000 000
// SW corner is TileA
BBBBBAAA 04b9 000 000
BBBBAAAA 04b9 000 000
ABBBBAAA 04b9 000 000
ABBBAAAA 04b9 000 000
BAABBAAA 04b9 000 000
BABBAAAA 04b9 000 000
BABBBAAA 04b9 000 000
BBAABAAA 04b9 000 000
ABAABAAA 04b9 000 000
BBBABAAA 04b9 000 000
BBABAAAA 04b9 000 000
ABBABAAA 04b9 000 000
ABABAAAA 04b9 000 000
BAABAAAA 04b9 000 000
BABABAAA 04b9 000 000
ABABBAAA 04b9 000 000
BBABBAAA 04b9 000 000
// NW Corner is TileB
BAAAAAAA 04bb 000 000
// SE Corner is TileB
AAAABAAA 04c5 000 000
// NE Corner is TileB
AABAAAAA 0407 000 000
// SW Corner is TileB
AAAAAABA 0408 000 000
// Stormcrow Autocorrect
AAABAAAB 0078 000 000
AAABAABB 0078 000 000
AAABABAB 0078 000 000
AAABABBB 0078 000 000
AAABBAAB 0078 000 000
AAABBABB 0078 000 000
AAABBBAB 0078 000 000
AAABBBBB 0078 000 000
AABAABAB 0078 000 000
AABAABBB 0078 000 000
AABABAAB 0078 000 000
