//Mod10 Stormcrow
// S TileA N TileB
BBBAAAAA 02ea 02f1 -15 -15
ABBAAAAA 02ea 02f1 -15 -15
BBAAAAAA 02ea 02f1 -15 -15
ABAAAAAA 02ea 02f1 -15 -15
BABAAAAA 02ea 02f1 -15 -15
// E TileA W TileB
BAAAAABB 02ee 02e7 -15 -15
BAAAAAAB 02ee 02e7 -15 -15
AAAAAABB 02ee 02e7 -15 -15
AAAAAAAB 02ee 02e7 -15 -15
BAAAAABA 02ee 02e7 -15 -15
// W TileA E TileB
AABBBAAA 02e6 02f3 000 000
AAABBAAA 02e6 02f3 -05 -05
AABBAAAA 02e6 02f3 000 000
AAABAAAA 02e6 02f3 -05 -05
AABABAAA 02e6 02f3 000 000
// N TileA S TileB
AAAABBBA 02f2 02eb 000 000
AAAAABBA 02f2 02eb 000 000
AAAABBAA 02f2 02eb -05 -05
AAAAABAA 02f2 02eb -05 -05
AAAABABA 02f2 02eb 000 000
// NW corner is TileA
AABBBBBA 02ed 000 000
AAABBBBA 02ed -05 -05
AABBBBAA 02ed -05 -05
AAABBBAA 02ed -05 -05
AAABABAA 02ed -05 -05
AABABBAA 02ed -05 -05
AABABBBA 02ed 000 000
AABAABBA 02ed 000 000
AAABBABA 02ed -05 -05
AABBBABA 02ed 000 000
AABBABBA 02ed 000 000
AABBAABA 02ed 000 000
AABAABAA 02ed -05 -05
AAABAABA 02ed -05 -05
AABBABAA 02ed -05 -05
AABABABA 02ed 000 000
AAABABBA 02ed -05 -05
// SE corner is TileA
BBBAAABB 0305 -15 -15
BBAAAABB 0305 -15 -15
BBBAAAAB 0305 -15 -15
BBAAAAAB 0305 -15 -15
BABAAAAB 0305 -15 -15
BBAAAABA 0305 -15 -15
ABBAAABA 0305 -15 -15
BABAAABA 0305 -15 -15
BBBAAABA 0305 -15 -15
ABAAAAAB 0305 -15 -15
BABAAABB 0305 -15 -15
AABAAABB 0305 -15 -15
ABBAAABB 0305 -15 -15
AABAAAAB 0305 -15 -15
ABAAAABB 0305 -15 -15
ABAAAABA 0305 -15 -15
ABBAAAAB 0305 -15 -15
// NE corner is TileA
BAAABBBB 0304 -15 -15
AAAABBBB 0304 -15 -15
BAAAABBB 0304 -15 -15
AAAAABBB 0304 -15 -15
AAAAABAB 0304 -15 -15
BAAABAAB 0304 -15 -15
BAAABBBA 0304 -15 -15
BAAAABBA 0304 -15 -15
BAAAABAA 0304 -15 -15
AAAABABB 0304 -15 -15
BAAABABB 0304 -15 -15
BAAABBAA 0304 -15 -15
BAAABBAB 0304 -15 -15
AAAABBAB 0304 -15 -15
AAAABAAB 0304 -15 -15
BAAABABA 0304 -15 -15
BAAAABAB 0304 -15 -15
// SW corner is TileA
BBBBBAAA 02e5 -15 -15
BBBBAAAA 02e5 -15 -15
ABBBBAAA 02e5 -15 -15
ABBBAAAA 02e5 -15 -15
BAABBAAA 02e5 -15 -15
BABBAAAA 02e5 -15 -15
BABBBAAA 02e5 -15 -15
BBAABAAA 02e5 -15 -15
ABAABAAA 02e5 -15 -15
BBBABAAA 02e5 -15 -15
BBABAAAA 02e5 -15 -15
ABBABAAA 02e5 -15 -15
ABABAAAA 02e5 -15 -15
BAABAAAA 02e5 -15 -15
BABABAAA 02e5 -15 -15
ABABBAAA 02e5 -15 -15
BBABBAAA 02e5 -15 -15
// NW Corner is TileB
BAAAAAAA 02f8 02ef -15 -15
// SE Corner is TileB
AAAABAAA 02f0 02fb -05 -05
// NE Corner is TileB
AABAAAAA 02f9 -03 -01
// SW Corner is TileB
AAAAAABA 02fa -03 -01
// Stormcrow Autocorrect
AAABAAAB 0064 -15 -15
AAABAABB 0064 -15 -15
AAABABAB 0064 -15 -15
AAABABBB 0064 -15 -15
AAABBAAB 0064 -15 -15
AAABBABB 0064 -15 -15
AAABBBAB 0064 -15 -15
AAABBBBB 0064 -15 -15
AABAABAB 0064 -15 -15
AABAABBB 0064 -15 -15
AABABAAB 0064 -15 -15
AABABABB 0064 -15 -15
AABABBAB 0064 -15 -15
AABABBBB 0064 -15 -15
