//Mod10 Stormcrow
// S TileA N TileB
BBBAAAAA 000b 000 000
ABBAAAAA 000b 000 000
BBAAAAAA 000b 000 000
ABAAAAAA 000b 000 000
BABAAAAA 000b 000 000
// E TileA W TileB
BAAAAABB 000a 000 000
BAAAAAAB 000a 000 000
AAAAAABB 000a 000 000
AAAAAAAB 000a 000 000
BAAAAABA 000a 000 000
// W TileA E TileB
AABBBAAA 000c 000 000
AAABBAAA 000c 000 000
AABBAAAA 000c 000 000
AAABAAAA 000c 000 000
AABABAAA 000c 000 000
// N TileA S TileB
AAAABBBA 000d 000 000
AAAAABBA 000d 000 000
AAAABBAA 000d 000 000
AAAAABAA 000d 000 000
AAAABABA 000d 000 000
// NW corner is TileA
AABBBBBA 0013 000 000
AAABBBBA 0013 000 000
AABBBBAA 0013 000 000
AAABBBAA 0013 000 000
AAABABAA 0013 000 000
AABABBAA 0013 000 000
AABABBBA 0013 000 000
AABAABBA 0013 000 000
AAABBABA 0013 000 000
AABBBABA 0013 000 000
AABBABBA 0013 000 000
AABBAABA 0013 000 000
AABAABAA 0013 000 000
AAABAABA 0013 000 000
AABBABAA 0013 000 000
AABABABA 0013 000 000
AAABABBA 0013 000 000
// SE corner is TileA
BBBAAABB 000e 000 000
BBAAAABB 000e 000 000
BBBAAAAB 000e 000 000
BBAAAAAB 000e 000 000
BABAAAAB 000e 000 000
BBAAAABA 000e 000 000
ABBAAABA 000e 000 000
BABAAABA 000e 000 000
BBBAAABA 000e 000 000
ABAAAAAB 000e 000 000
BABAAABB 000e 000 000
AABAAABB 000e 000 000
ABBAAABB 000e 000 000
AABAAAAB 000e 000 000
ABAAAABB 000e 000 000
ABAAAABA 000e 000 000
ABBAAAAB 000e 000 000
// NE corner is TileA
BAAABBBB 0014 000 000
AAAABBBB 0014 000 000
BAAAABBB 0014 000 000
AAAAABBB 0014 000 000
AAAAABAB 0014 000 000
BAAABAAB 0014 000 000
BAAABBBA 0014 000 000
BAAAABBA 0014 000 000
BAAAABAA 0014 000 000
AAAABABB 0014 000 000
BAAABABB 0014 000 000
BAAABBAA 0014 000 000
BAAABBAB 0014 000 000
AAAABBAB 0014 000 000
AAAABAAB 0014 000 000
BAAABABA 0014 000 000
BAAAABAB 0014 000 000
// SW corner is TileA
BBBBBAAA 0015 000 000
BBBBAAAA 0015 000 000
ABBBBAAA 0015 000 000
ABBBAAAA 0015 000 000
BAABBAAA 0015 000 000
BABBAAAA 0015 000 000
BABBBAAA 0015 000 000
BBAABAAA 0015 000 000
ABAABAAA 0015 000 000
BBBABAAA 0015 000 000
BBABAAAA 0015 000 000
ABBABAAA 0015 000 000
ABABAAAA 0015 000 000
BAABAAAA 0015 000 000
BABABAAA 0015 000 000
ABABBAAA 0015 000 000
BBABBAAA 0015 000 000
// NW Corner is TileB
BAAAAAAA 0010 000 000
// SE Corner is TileB
AAAABAAA 0011 000 000
// NE Corner is TileB
AABAAAAA 000f 000 000
// SW Corner is TileB
AAAAAABA 0012 000 000
// Stormcrow Autocorrect
AAABAAAB 0009 000 000
AAABAABB 0009 000 000
AAABABAB 0009 000 000
AAABABBB 0009 000 000
AAABBAAB 0009 000 000
AAABBABB 0009 000 000
AAABBBAB 0009 000 000
AAABBBBB 0009 000 000
AABAABAB 0009 000 000
AABAABBB 0009 000 000
AABABAAB 0009 000 000
AABABABB 0009 000 000
AABABBAB 0009 000 000
AABABBBB 0009 000 000
AABBAAAB 0009 000 000
AABBAABB 0009 000 000
AABBABAB 0009 000 000
AABBABBB 0009 000 000
AABBBAAB 0009 000 000
AABBBABB 0009 000 000
AABBBBAB 0009 000 000
AABBBBBB 0009 000 000
ABAAABAA 0009 000 000
ABAAABAB 0009 000 000
ABAAABBA 0009 000 000
ABAAABBB 0009 000 000
ABAABAAB 0009 000 000
ABAABABA 0009 000 000
ABAABABB 0009 000 000
ABAABBAA 0009 000 000
ABAABBAB 0009 000 000
ABAABBBA 0009 000 000
ABAABBBB 0009 000 000
ABABAAAB 0009 000 000
ABABAABA 0009 000 000
ABABAABB 0009 000 000
ABABABAA 0009 000 000
ABABABAB 0009 000 000
ABABABBA 0009 000 000
ABABABBB 0009 000 000
ABABBAAB 0009 000 000
ABABBABA 0009 000 000
ABABBABB 0009 000 000
ABABBBAA 0009 000 000
ABABBBAB 0009 000 000
ABABBBBA 0009 000 000
ABABBBBB 0009 000 000
ABBAABAA 0009 000 000
ABBAABAB 0009 000 000
ABBAABBA 0009 000 000
ABBAABBB 0009 000 000
ABBABAAB 0009 000 000
ABBABABA 0009 000 000
ABBABABB 0009 000 000
ABBABBAA 0009 000 000
ABBABBAB 0009 000 000
ABBABBBA 0009 000 000
ABBABBBB 0009 000 000
ABBBAAAB 0009 000 000
ABBBAABA 0009 000 000
ABBBAABB 0009 000 000
ABBBABAA 0009 000 000
ABBBABAB 0009 000 000
ABBBABBA 0009 000 000
ABBBABBB 0009 000 000
ABBBBAAB 0009 000 000
ABBBBABA 0009 000 000
ABBBBABB 0009 000 000
ABBBBBAA 0009 000 000
ABBBBBAB 0009 000 000
ABBBBBBA 0009 000 000
ABBBBBBB 0009 000 000
BAABAAAB 0009 000 000
BAABAABA 0009 000 000
BAABAABB 0009 000 000
BAABABAA 0009 000 000
BAABABAB 0009 000 000
BAABABBA 0009 000 000
BAABABBB 0009 000 000
