//Mod10 Stormcrow
// S TileA N TileB
BBBAAAAA 3de1 3de2 000 000
ABBAAAAA 3de1 3de2 000 000
BBAAAAAA 3de1 3de2 000 000
ABAAAAAA 3de1 3de2 000 000
BABAAAAA 3de1 3de2 000 000
// E TileA W TileB
BAAAAABB 3ddb 3ddc 000 000
BAAAAAAB 3ddb 3ddc 000 000
AAAAAABB 3ddb 3ddc 000 000
AAAAAAAB 3ddb 3ddc 000 000
BAAAAABA 3ddb 3ddc 000 000
// W TileA E TileB
AABBBAAA 3ddd 3dde 000 000
AAABBAAA 3ddd 3dde 000 000
AABBAAAA 3ddd 3dde 000 000
AAABAAAA 3ddd 3dde 000 000
AABABAAA 3ddd 3dde 000 000
// N TileA S TileB
AAAABBBA 3ddf 3de8 000 000
AAAAABBA 3ddf 3de8 000 000
AAAABBAA 3ddf 3de8 000 000
AAAAABAA 3ddf 3de8 000 000
AAAABABA 3ddf 3de8 000 000
// NW corner is TileA
AABBBBBA 3de5 000 000
AAABBBBA 3de5 000 000
AABBBBAA 3de5 000 000
AAABBBAA 3de5 000 000
AAABABAA 3de5 000 000
AABABBAA 3de5 000 000
AABABBBA 3de5 000 000
AABAABBA 3de5 000 000
AAABBABA 3de5 000 000
AABBBABA 3de5 000 000
AABBABBA 3de5 000 000
AABBAABA 3de5 000 000
AABAABAA 3de5 000 000
AAABAABA 3de5 000 000
AABBABAA 3de5 000 000
AABABABA 3de5 000 000
AAABABBA 3de5 000 000
// SE corner is TileA
BBBAAABB 3de6 000 000
BBAAAABB 3de6 000 000
BBBAAAAB 3de6 000 000
BBAAAAAB 3de6 000 000
BABAAAAB 3de6 000 000
BBAAAABA 3de6 000 000
ABBAAABA 3de6 000 000
BABAAABA 3de6 000 000
BBBAAABA 3de6 000 000
ABAAAAAB 3de6 000 000
BABAAABB 3de6 000 000
AABAAABB 3de6 000 000
ABBAAABB 3de6 000 000
AABAAAAB 3de6 000 000
ABAAAABB 3de6 000 000
ABAAAABA 3de6 000 000
ABBAAAAB 3de6 000 000
// NE corner is TileA
BAAABBBB 3de3 000 000
AAAABBBB 3de3 000 000
BAAAABBB 3de3 000 000
AAAAABBB 3de3 000 000
AAAAABAB 3de3 000 000
BAAABAAB 3de3 000 000
BAAABBBA 3de3 000 000
BAAAABBA 3de3 000 000
BAAAABAA 3de3 000 000
AAAABABB 3de3 000 000
BAAABABB 3de3 000 000
BAAABBAA 3de3 000 000
BAAABBAB 3de3 000 000
AAAABBAB 3de3 000 000
AAAABAAB 3de3 000 000
BAAABABA 3de3 000 000
BAAAABAB 3de3 000 000
// SW corner is TileA
BBBBBAAA 3de4 000 000
BBBBAAAA 3de4 000 000
ABBBBAAA 3de4 000 000
ABBBAAAA 3de4 000 000
BAABBAAA 3de4 000 000
BABBAAAA 3de4 000 000
BABBBAAA 3de4 000 000
BBAABAAA 3de4 000 000
ABAABAAA 3de4 000 000
BBBABAAA 3de4 000 000
BBABAAAA 3de4 000 000
ABBABAAA 3de4 000 000
ABABAAAA 3de4 000 000
BAABAAAA 3de4 000 000
BABABAAA 3de4 000 000
ABABBAAA 3de4 000 000
BBABBAAA 3de4 000 000
// NW Corner is TileB
BAAAAAAA 3ded 000 000
// SE Corner is TileB
AAAABAAA 3def 000 000
// NE Corner is TileB
AABAAAAA 3dee 000 000
// SW Corner is TileB
AAAAAABA 3dc2 000 000
// Stormcrow Autocorrect
AAABAAAB 3de7 000 000
AAABAABB 3de7 000 000
AAABABAB 3de7 000 000
AAABABBB 3de7 000 000
AAABBAAB 3de7 000 000
AAABBABB 3de7 000 000
AAABBBAB 3de7 000 000
AAABBBBB 3de7 000 000
AABAABAB 3de7 000 000
AABAABBB 3de7 000 000
AABABAAB 3de7 000 000
AABABABB 3de7 000 000
AABABBAB 3de7 000 000
AABABBBB 3de7 000 000
AABBAAAB 3de7 000 000
AABBAABB 3de7 000 000
