//Mod11 Stormcrow
// S TileA N TileB
BBBAAAAA 0420 000 000
ABBAAAAA 0420 000 000
BBAAAAAA 0420 000 000
ABAAAAAA 0420 000 000
BABAAAAA 0420 000 000
// E TileA W TileB
BAAAAABB 0423 000 000
BAAAAAAB 0423 000 000
AAAAAABB 0423 000 000
AAAAAAAB 0423 000 000
BAAAAABA 0423 000 000
// W TileA E TileB
AABBBAAA 0421 000 000
AAABBAAA 0421 000 000
AABBAAAA 0421 000 000
AAABAAAA 0421 000 000
AABABAAA 0421 000 000
// N TileA S TileB
AAAABBBA 0422 000 000
AAAAABBA 0422 000 000
AAAABBAA 0422 000 000
AAAAABAA 0422 000 000
AAAABABA 0422 000 000
// NW corner is TileA
AABBBBBA 0427 000 000
AAABBBBA 0427 000 000
AABBBBAA 0427 000 000
AAABBBAA 0427 000 000
AAABABAA 0427 000 000
AABABBAA 0427 000 000
AABABBBA 0427 000 000
AABAABBA 0427 000 000
AAABBABA 0427 000 000
AABBBABA 0427 000 000
AABBABBA 0427 000 000
AABBAABA 0427 000 000
AABAABAA 0427 000 000
AAABAABA 0427 000 000
AABBABAA 0427 000 000
AABABABA 0427 000 000
AAABABBA 0427 000 000
// SE corner is TileA
BBBAAABB 0425 000 000
BBAAAABB 0425 000 000
BBBAAAAB 0425 000 000
BBAAAAAB 0425 000 000
BABAAAAB 0425 000 000
BBAAAABA 0425 000 000
ABBAAABA 0425 000 000
BABAAABA 0425 000 000
BBBAAABA 0425 000 000
ABAAAAAB 0425 000 000
BABAAABB 0425 000 000
AABAAABB 0425 000 000
ABBAAABB 0425 000 000
AABAAAAB 0425 000 000
ABAAAABB 0425 000 000
ABAAAABA 0425 000 000
ABBAAAAB 0425 000 000
// NE corner is TileA
BAAABBBB 0424 000 000
AAAABBBB 0424 000 000
BAAAABBB 0424 000 000
AAAAABBB 0424 000 000
AAAAABAB 0424 000 000
BAAABAAB 0424 000 000
BAAABBBA 0424 000 000
BAAAABBA 0424 000 000
BAAAABAA 0424 000 000
AAAABABB 0424 000 000
BAAABABB 0424 000 000
BAAABBAA 0424 000 000
BAAABBAB 0424 000 000
AAAABBAB 0424 000 000
AAAABAAB 0424 000 000
BAAABABA 0424 000 000
BAAAABAB 0424 000 000
// SW corner is TileA
BBBBBAAA 0426 000 000
BBBBAAAA 0426 000 000
ABBBBAAA 0426 000 000
ABBBAAAA 0426 000 000
BAABBAAA 0426 000 000
BABBAAAA 0426 000 000
BABBBAAA 0426 000 000
BBAABAAA 0426 000 000
ABAABAAA 0426 000 000
BBBABAAA 0426 000 000
BBABAAAA 0426 000 000
ABBABAAA 0426 000 000
ABABAAAA 0426 000 000
BAABAAAA 0426 000 000
BABABAAA 0426 000 000
ABABBAAA 0426 000 000
BBABBAAA 0426 000 000
// NW Corner is TileB
BAAAAAAA 0432 000 000
// SE Corner is TileB
AAAABAAA 0430 000 000
// NE Corner is TileB
AABAAAAA 0433 000 000
// SW Corner is TileB
AAAAAABA 0431 000 000
// Stormcrow Autocorrect
AAABAAAB 0078 000 000
AAABAABB 0078 000 000
AAABABAB 0078 000 000
AAABABBB 0078 000 000
AAABBAAB 0078 000 000
AAABBABB 0078 000 000
AAABBBAB 0078 000 000
AAABBBBB 0078 000 000
AABAABAB 0078 000 000
AABAABBB 0078 000 000
AABABAAB 0078 000 000
AABABABB 0078 000 000
AABABBAB 0078 000 000
AABABBBB 0078 000 000
AABBAAAB 0078 000 000
AABBAABB 0078 000 000
AABBABAB 0078 000 000
AABBABBB 0078 000 000
AABBBAAB 0078 000 000
AABBBABB 0078 000 000
AABBBBAB 0078 000 000
AABBBBBB 0078 000 000
ABAAABAA 0078 000 000
ABAAABAB 0078 000 000
ABAAABBA 0078 000 000
ABAAABBB 0078 000 000
ABAABAAB 0078 000 000
ABAABABA 0078 000 000
ABAABABB 0078 000 000
ABAABBAA 0078 000 000
ABAABBAB 0078 000 000
ABAABBBA 0078 000 000
ABAABBBB 0078 000 000
ABABAAAB 0078 000 000
ABABAABA 0078 000 000
ABABAABB 0078 000 000
ABABABAA 0078 000 000
ABABABAB 0078 000 000
ABABABBA 0078 000 000
ABABABBB 0078 000 000
ABABBAAB 0078 000 000
ABABBABA 0078 000 000
ABABBABB 0078 000 000
ABABBBAA 0078 000 000
ABABBBAB 0078 000 000
ABABBBBA 0078 000 000
ABABBBBB 0078 000 000
ABBAABAA 0078 000 000
ABBAABAB 0078 000 000
ABBAABBA 0078 000 000
ABBAABBB 0078 000 000
ABBABAAB 0078 000 000
ABBABABA 0078 000 000
ABBABABB 0078 000 000
ABBABBAA 0078 000 000
ABBABBAB 0078 000 000
ABBABBBA 0078 000 000
ABBABBBB 0078 000 000
ABBBAAAB 0078 000 000
ABBBAABA 0078 000 000
ABBBAABB 0078 000 000
ABBBABAA 0078 000 000
