//Mod10 Stormcrow
// S TileA N TileB
BBBAAAAA 0298 0299 000 000
ABBAAAAA 0298 0299 000 000
BBAAAAAA 0298 0299 000 000
ABAAAAAA 0298 0299 000 000
BABAAAAA 0298 0299 000 000
// E TileA W TileB
BAAAAABB 029c 029d 000 000
BAAAAAAB 029c 029d 000 000
AAAAAABB 029c 029d 000 000
AAAAAAAB 029c 029d 000 000
BAAAAABA 029c 029d 000 000
// W TileA E TileB
AABBBAAA 029e 029f 000 000
AAABBAAA 029e 029f 000 000
AABBAAAA 029e 029f 000 000
AAABAAAA 029e 029f 000 000
AABABAAA 029e 029f 000 000
// N TileA S TileB
AAAABBBA 029a 029b 000 000
AAAAABBA 029a 029b 000 000
AAAABBAA 029a 029b 000 000
AAAAABAA 029a 029b 000 000
AAAABABA 029a 029b 000 000
// NW corner is TileA
AABBBBBA 02a7 000 000
AAABBBBA 02a7 000 000
AABBBBAA 02a7 000 000
AAABBBAA 02a7 000 000
AAABABAA 02a7 000 000
AABABBAA 02a7 000 000
AABABBBA 02a7 000 000
AABAABBA 02a7 000 000
AAABBABA 02a7 000 000
AABBBABA 02a7 000 000
AABBABBA 02a7 000 000
AABBAABA 02a7 000 000
AABAABAA 02a7 000 000
AAABAABA 02a7 000 000
AABBABAA 02a7 000 000
AABABABA 02a7 000 000
AAABABBA 02a7 000 000
// SE corner is TileA
BBBAAABB 02a5 000 000
BBAAAABB 02a5 000 000
BBBAAAAB 02a5 000 000
BBAAAAAB 02a5 000 000
BABAAAAB 02a5 000 000
BBAAAABA 02a5 000 000
ABBAAABA 02a5 000 000
BABAAABA 02a5 000 000
BBBAAABA 02a5 000 000
ABAAAAAB 02a5 000 000
BABAAABB 02a5 000 000
AABAAABB 02a5 000 000
ABBAAABB 02a5 000 000
AABAAAAB 02a5 000 000
ABAAAABB 02a5 000 000
ABAAAABA 02a5 000 000
ABBAAAAB 02a5 000 000
// NE corner is TileA
BAAABBBB 02bb 000 000
AAAABBBB 02bb 000 000
BAAAABBB 02bb 000 000
AAAAABBB 02bb 000 000
AAAAABAB 02bb 000 000
BAAABAAB 02bb 000 000
BAAABBBA 02bb 000 000
BAAAABBA 02bb 000 000
BAAAABAA 02bb 000 000
AAAABABB 02bb 000 000
BAAABABB 02bb 000 000
BAAABBAA 02bb 000 000
BAAABBAB 02bb 000 000
AAAABBAB 02bb 000 000
AAAABAAB 02bb 000 000
BAAABABA 02bb 000 000
BAAAABAB 02bb 000 000
// SW corner is TileA
BBBBBAAA 02a6 000 000
BBBBAAAA 02a6 000 000
ABBBBAAA 02a6 000 000
ABBBAAAA 02a6 000 000
BAABBAAA 02a6 000 000
BABBAAAA 02a6 000 000
BABBBAAA 02a6 000 000
BBAABAAA 02a6 000 000
ABAABAAA 02a6 000 000
BBBABAAA 02a6 000 000
BBABAAAA 02a6 000 000
ABBABAAA 02a6 000 000
ABABAAAA 02a6 000 000
BAABAAAA 02a6 000 000
BABABAAA 02a6 000 000
ABABBAAA 02a6 000 000
BBABBAAA 02a6 000 000
// NW Corner is TileB
BAAAAAAA 02a3 000 000
// SE Corner is TileB
AAAABAAA 02a1 000 000
// NE Corner is TileB
AABAAAAA 02a0 000 000
// SW Corner is TileB
AAAAAABA 02a2 000 000
// Stormcrow Autocorrect
AAABAAAB 0296 000 000
AAABAABB 0296 000 000
AAABABAB 0296 000 000
AAABABBB 0296 000 000
AAABBAAB 0296 000 000
AAABBABB 0296 000 000
AAABBBAB 0296 000 000
AAABBBBB 0296 000 000
AABAABAB 0296 000 000
AABAABBB 0296 000 000
AABABAAB 0296 000 000
AABABABB 0296 000 000
AABABBAB 0296 000 000
AABABBBB 0296 000 000
AABBAAAB 0296 000 000
AABBAABB 0296 000 000
AABBABAB 0296 000 000
AABBABBB 0296 000 000
AABBBAAB 0296 000 000
AABBBABB 0296 000 000
AABBBBAB 0296 000 000
AABBBBBB 0296 000 000
ABAAABAA 0296 000 000
ABAAABAB 0296 000 000
ABAAABBA 0296 000 000
ABAAABBB 0296 000 000
ABAABAAB 0296 000 000
ABAABABA 0296 000 000
ABAABABB 0296 000 000
ABAABBAA 0296 000 000
ABAABBAB 0296 000 000
ABAABBBA 0296 000 000
ABAABBBB 0296 000 000
ABABAAAB 0296 000 000
ABABAABA 0296 000 000
ABABAABB 0296 000 000
ABABABAA 0296 000 000
ABABABAB 0296 000 000
ABABABBA 0296 000 000
ABABABBB 0296 000 000
ABABBAAB 0296 000 000
ABABBABA 0296 000 000
ABABBABB 0296 000 000
ABABBBAA 0296 000 000
ABABBBAB 0296 000 000
ABABBBBA 0296 000 000
ABABBBBB 0296 000 000
ABBAABAA 0296 000 000
ABBAABAB 0296 000 000
ABBAABBA 0296 000 000
ABBAABBB 0296 000 000
ABBABAAB 0296 000 000
ABBABABA 0296 000 000
ABBABABB 0296 000 000
ABBABBAA 0296 000 000
ABBABBAB 0296 000 000
ABBABBBA 0296 000 000
ABBABBBB 0296 000 000
ABBBAAAB 0296 000 000
ABBBAABA 0296 000 000
ABBBAABB 0296 000 000
ABBBABAA 0296 000 000
ABBBABAB 0296 000 000
ABBBABBA 0296 000 000
ABBBABBB 0296 000 000
ABBBBAAB 0296 000 000
ABBBBABA 0296 000 000
ABBBBABB 0296 000 000
ABBBBBAA 0296 000 000
ABBBBBAB 0296 000 000
ABBBBBBA 0296 000 000
ABBBBBBB 0296 000 000
BAABAAAB 0296 000 000
BAABAABA 0296 000 000
BAABAABB 0296 000 000
BAABABAA 0296 000 000
BAABABAB 0296 000 000
BAABABBA 0296 000 000
BAABABBB 0296 000 000
BAABBAAB 0296 000 000
BAABBABA 0296 000 000
BAABBABB 0296 000 000
BAABBBAA 0296 000 000
BAABBBAB 0296 000 000
BAABBBBA 0296 000 000
BAABBBBB 0296 000 000
BABAABAA 0296 000 000
BABAABAB 0296 000 000
BABAABBA 0296 000 000
BABAABBB 0296 000 000
BABABAAB 0296 000 000
BABABABA 0296 000 000
BABABABB 0296 000 000
BABABBAA 0296 000 000
BABABBAB 0296 000 000
BABABBBA 0296 000 000
BABABBBB 0296 000 000
BABBAAAB 0296 000 000
BABBAABA 0296 000 000
BABBAABB 0296 000 000
BABBABAA 0296 000 000
BABBABAB 0296 000 000
BABBABBA 0296 000 000
BABBABBB 0296 000 000
BABBBAAB 0296 000 000
BABBBABA 0296 000 000
BABBBABB 0296 000 000
BABBBBAA 0296 000 000
BABBBBAB 0296 000 000
BABBBBBA 0296 000 000
BABBBBBB 0296 000 000
BBAAABAA 0296 000 000
BBAAABAB 0296 000 000
BBAAABBA 0296 000 000
BBAAABBB 0296 000 000
BBAABAAB 0296 000 000
BBAABABA 0296 000 000
BBAABABB 0296 000 000
BBAABBAA 0296 000 000
BBAABBAB 0296 000 000
BBAABBBA 0296 000 000
BBAABBBB 0296 000 000
BBABAAAB 0296 000 000
BBABAABA 0296 000 000
BBABAABB 0296 000 000
BBABABAA 0296 000 000
BBABABAB 0296 000 000
BBABABBA 0296 000 000
BBABABBB 0296 000 000
BBABBAAB 0296 000 000
BBABBABA 0296 000 000
BBABBABB 0296 000 000
BBABBBAA 0296 000 000
BBABBBAB 0296 000 000
BBABBBBA 0296 000 000
BBABBBBB 0296 000 000
BBBAABAA 0296 000 000
BBBAABAB 0296 000 000
BBBAABBA 0296 000 000
BBBAABBB 0296 000 000
BBBABAAB 0296 000 000
BBBABABA 0296 000 000
BBBABABB 0296 000 000
BBBABBAA 0296 000 000
BBBABBAB 0296 000 000
BBBABBBA 0296 000 000
BBBABBBB 0296 000 000
BBBBAAAB 0296 000 000
BBBBAABA 0296 000 000
BBBBAABB 0296 000 000
BBBBABAA 0296 000 000
BBBBABAB 0296 000 000
BBBBABBA 0296 000 000
BBBBABBB 0296 000 000
BBBBBAAB 0296 000 000
BBBBBABA 0296 000 000
BBBBBABB 0296 000 000
BBBBBBAA 0296 000 000
BBBBBBAB 0296 000 000
BBBBBBBA 0296 000 000
BBBBBBBB 0296 000 000
// Stormcrow Invalid
//BAAABAAA 0001 000 000
//AABAAABA 0001 000 000
