//Mod10 Stormcrow
// S TileA N TileB
BBBAAAAA 01c3 01c7 -15 -15
ABBAAAAA 01c3 01c7 -15 -15
BBAAAAAA 01c3 01c7 -15 -15
ABAAAAAA 01c3 01c7 -15 -15
BABAAAAA 01c3 01c7 -15 -15
// E TileA W TileB
BAAAAABB 01c1 01c5 -15 -15
BAAAAAAB 01c1 01c5 -15 -15
AAAAAABB 01c1 01c5 -15 -15
AAAAAAAB 01c1 01c5 -15 -15
BAAAAABA 01c1 01c5 -15 -15
// W TileA E TileB
AABBBAAA 01c2 01c6 000 000
AAABBAAA 01c2 01c6 -05 -05
AABBAAAA 01c2 01c6 000 000
AAABAAAA 01c2 01c6 -05 -05
AABABAAA 01c2 01c6 000 000
// N TileA S TileB
AAAABBBA 01c4 01c8 000 000
AAAAABBA 01c4 01c8 000 000
AAAABBAA 01c4 01c8 -05 -05
AAAAABAA 01c4 01c8 -05 -05
AAAABABA 01c4 01c8 000 000
// NW corner is TileA
AABBBBBA 01bb 000 000
AAABBBBA 01bb -05 -05
AABBBBAA 01bb -05 -05
AAABBBAA 01bb -05 -05
AAABABAA 01bb -05 -05
AABABBAA 01bb -05 -05
AABABBBA 01bb 000 000
AABAABBA 01bb 000 000
AAABBABA 01bb -05 -05
AABBBABA 01bb 000 000
AABBABBA 01bb 000 000
AABBAABA 01bb 000 000
AABAABAA 01bb -05 -05
AAABAABA 01bb -05 -05
AABBABAA 01bb -05 -05
AABABABA 01bb 000 000
AAABABBA 01bb -05 -05
// SE corner is TileA
BBBAAABB 01bb -15 -15
BBAAAABB 01bb -15 -15
BBBAAAAB 01bb -15 -15
BBAAAAAB 01bb -15 -15
BABAAAAB 01bb -15 -15
BBAAAABA 01bb -15 -15
ABBAAABA 01bb -15 -15
BABAAABA 01bb -15 -15
BBBAAABA 01bb -15 -15
ABAAAAAB 01bb -15 -15
BABAAABB 01bb -15 -15
AABAAABB 01bb -15 -15
ABBAAABB 01bb -15 -15
AABAAAAB 01bb -15 -15
ABAAAABB 01bb -15 -15
ABAAAABA 01bb -15 -15
ABBAAAAB 01bb -15 -15
// NE corner is TileA
BAAABBBB 01ba -15 -15
AAAABBBB 01ba -15 -15
BAAAABBB 01ba -15 -15
AAAAABBB 01ba -15 -15
AAAAABAB 01ba -15 -15
BAAABAAB 01ba -15 -15
BAAABBBA 01ba -15 -15
BAAAABBA 01ba -15 -15
BAAAABAA 01ba -15 -15
AAAABABB 01ba -15 -15
BAAABABB 01ba -15 -15
BAAABBAA 01ba -15 -15
BAAABBAB 01ba -15 -15
AAAABBAB 01ba -15 -15
AAAABAAB 01ba -15 -15
BAAABABA 01ba -15 -15
BAAAABAB 01ba -15 -15
// SW corner is TileA
BBBBBAAA 01b9 -15 -15
BBBBAAAA 01b9 -15 -15
ABBBBAAA 01b9 -15 -15
ABBBAAAA 01b9 -15 -15
BAABBAAA 01b9 -15 -15
BABBAAAA 01b9 -15 -15
BABBBAAA 01b9 -15 -15
BBAABAAA 01b9 -15 -15
ABAABAAA 01b9 -15 -15
BBBABAAA 01b9 -15 -15
BBABAAAA 01b9 -15 -15
ABBABAAA 01b9 -15 -15
ABABAAAA 01b9 -15 -15
BAABAAAA 01b9 -15 -15
BABABAAA 01b9 -15 -15
ABABBAAA 01b9 -15 -15
BBABBAAA 01b9 -15 -15
// NW Corner is TileB
BAAAAAAA 01bf -15 -15
// SE Corner is TileB
AAAABAAA 01bc -05 -05
// NE Corner is TileB
AABAAAAA 01be -03 -01
// SW Corner is TileB
AAAAAABA 01bd -03 -01
// Stormcrow Autocorrect
AAABAAAB 0064 -15 -15
AAABAABB 0064 -15 -15
AAABABAB 0064 -15 -15
AAABABBB 0064 -15 -15
AAABBAAB 0064 -15 -15
AAABBABB 0064 -15 -15
AAABBBAB 0064 -15 -15
AAABBBBB 0064 -15 -15
AABAABAB 0064 -15 -15
AABAABBB 0064 -15 -15
AABABAAB 0064 -15 -15
AABABABB 0064 -15 -15
AABABBAB 0064 -15 -15
AABABBBB 0064 -15 -15
AABBAAAB 0064 -15 -15
AABBAABB 0064 -15 -15
AABBABAB 0064 -15 -15
AABBABBB 0064 -15 -15
AABBBAAB 0064 -15 -15
AABBBABB 0064 -15 -15
AABBBBAB 0064 -15 -15
AABBBBBB 0064 -15 -15
ABAAABAA 0064 -15 -15
ABAAABAB 0064 -15 -15
ABAAABBA 0064 -15 -15
ABAAABBB 0064 -15 -15
ABAABAAB 0064 -15 -15
ABAABABA 0064 -15 -15
ABAABABB 0064 -15 -15
ABAABBAA 0064 -15 -15
ABAABBAB 0064 -15 -15
ABAABBBA 0064 -15 -15
ABAABBBB 0064 -15 -15
ABABAAAB 0064 -15 -15
ABABAABA 0064 -15 -15
ABABAABB 0064 -15 -15
ABABABAA 0064 -15 -15
ABABABAB 0064 -15 -15
ABABABBA 0064 -15 -15
ABABABBB 0064 -15 -15
ABABBAAB 0064 -15 -15
ABABBABA 0064 -15 -15
ABABBABB 0064 -15 -15
ABABBBAA 0064 -15 -15
ABABBBAB 0064 -15 -15
ABABBBBA 0064 -15 -15
ABABBBBB 0064 -15 -15
ABBAABAA 0064 -15 -15
ABBAABAB 0064 -15 -15
ABBAABBA 0064 -15 -15
ABBAABBB 0064 -15 -15
ABBABAAB 0064 -15 -15
ABBABABA 0064 -15 -15
ABBABABB 0064 -15 -15
ABBABBAA 0064 -15 -15
ABBABBAB 0064 -15 -15
ABBABBBA 0064 -15 -15
ABBABBBB 0064 -15 -15
ABBBAAAB 0064 -15 -15
ABBBAABA 0064 -15 -15
ABBBAABB 0064 -15 -15
ABBBABAA 0064 -15 -15
ABBBABAB 0064 -15 -15
ABBBABBA 0064 -15 -15
ABBBABBB 0064 -15 -15
ABBBBAAB 0064 -15 -15
ABBBBABA 0064 -15 -15
ABBBBABB 0064 -15 -15
