//Mod10 Stormcrow
// S TileA N TileB
BBBAAAAA 0183 0187 -15 -15
ABBAAAAA 0183 0187 -15 -15
BBAAAAAA 0183 0187 -15 -15
ABAAAAAA 0183 0187 -15 -15
BABAAAAA 0183 0187 -15 -15
// E TileA W TileB
BAAAAABB 0181 0185 -15 -15
BAAAAAAB 0181 0185 -15 -15
AAAAAABB 0181 0185 -15 -15
AAAAAAAB 0181 0185 -15 -15
BAAAAABA 0181 0185 -15 -15
// W TileA E TileB
AABBBAAA 0182 0186 000 000
AAABBAAA 0182 0186 -05 -05
AABBAAAA 0182 0186 000 000
AAABAAAA 0182 0186 -05 -05
AABABAAA 0182 0186 000 000
// N TileA S TileB
AAAABBBA 0184 0188 000 000
AAAAABBA 0184 0188 000 000
AAAABBAA 0184 0188 -05 -05
AAAAABAA 0184 0188 -05 -05
AAAABABA 0184 0188 000 000
// NW corner is TileA
AABBBBBA 017b 000 000
AAABBBBA 017b -05 -05
AABBBBAA 017b -05 -05
AAABBBAA 017b -05 -05
AAABABAA 017b -05 -05
AABABBAA 017b -05 -05
AABABBBA 017b 000 000
AABAABBA 017b 000 000
AAABBABA 017b -05 -05
AABBBABA 017b 000 000
AABBABBA 017b 000 000
AABBAABA 017b 000 000
AABAABAA 017b -05 -05
AAABAABA 017b -05 -05
AABBABAA 017b -05 -05
AABABABA 017b 000 000
AAABABBA 017b -05 -05
// SE corner is TileA
BBBAAABB 017b -15 -15
BBAAAABB 017b -15 -15
BBBAAAAB 017b -15 -15
BBAAAAAB 017b -15 -15
BABAAAAB 017b -15 -15
BBAAAABA 017b -15 -15
ABBAAABA 017b -15 -15
BABAAABA 017b -15 -15
BBBAAABA 017b -15 -15
ABAAAAAB 017b -15 -15
BABAAABB 017b -15 -15
AABAAABB 017b -15 -15
ABBAAABB 017b -15 -15
AABAAAAB 017b -15 -15
ABAAAABB 017b -15 -15
ABAAAABA 017b -15 -15
ABBAAAAB 017b -15 -15
// NE corner is TileA
BAAABBBB 017a -15 -15
AAAABBBB 017a -15 -15
BAAAABBB 017a -15 -15
AAAAABBB 017a -15 -15
AAAAABAB 017a -15 -15
BAAABAAB 017a -15 -15
BAAABBBA 017a -15 -15
BAAAABBA 017a -15 -15
BAAAABAA 017a -15 -15
AAAABABB 017a -15 -15
BAAABABB 017a -15 -15
BAAABBAA 017a -15 -15
BAAABBAB 017a -15 -15
AAAABBAB 017a -15 -15
AAAABAAB 017a -15 -15
BAAABABA 017a -15 -15
BAAAABAB 017a -15 -15
// SW corner is TileA
BBBBBAAA 0179 -15 -15
BBBBAAAA 0179 -15 -15
ABBBBAAA 0179 -15 -15
ABBBAAAA 0179 -15 -15
BAABBAAA 0179 -15 -15
BABBAAAA 0179 -15 -15
BABBBAAA 0179 -15 -15
BBAABAAA 0179 -15 -15
ABAABAAA 0179 -15 -15
BBBABAAA 0179 -15 -15
