//Mod10 Stormcrow
// S TileA N TileB
BBBAAAAA 0050 000 000
ABBAAAAA 0050 000 000
BBAAAAAA 0050 000 000
ABAAAAAA 0050 000 000
BABAAAAA 0050 000 000
// E TileA W TileB
BAAAAABB 0053 000 000
BAAAAAAB 0053 000 000
AAAAAABB 0053 000 000
AAAAAAAB 0053 000 000
BAAAAABA 0053 000 000
// W TileA E TileB
AABBBAAA 0051 000 000
AAABBAAA 0051 000 000
AABBAAAA 0051 000 000
AAABAAAA 0051 000 000
AABABAAA 0051 000 000
// N TileA S TileB
AAAABBBA 0052 000 000
AAAAABBA 0052 000 000
AAAABBAA 0052 000 000
AAAAABAA 0052 000 000
AAAABABA 0052 000 000
// NW corner is TileA
AABBBBBA 004e 000 000
AAABBBBA 004e 000 000
AABBBBAA 004e 000 000
AAABBBAA 004e 000 000
AAABABAA 004e 000 000
AABABBAA 004e 000 000
AABABBBA 004e 000 000
AABAABBA 004e 000 000
AAABBABA 004e 000 000
AABBBABA 004e 000 000
AABBABBA 004e 000 000
AABBAABA 004e 000 000
AABAABAA 004e 000 000
AAABAABA 004e 000 000
AABBABAA 004e 000 000
AABABABA 004e 000 000
AAABABBA 004e 000 000
// SE corner is TileA
BBBAAABB 004c 000 000
BBAAAABB 004c 000 000
BBBAAAAB 004c 000 000
BBAAAAAB 004c 000 000
BABAAAAB 004c 000 000
BBAAAABA 004c 000 000
ABBAAABA 004c 000 000
BABAAABA 004c 000 000
BBBAAABA 004c 000 000
ABAAAAAB 004c 000 000
BABAAABB 004c 000 000
AABAAABB 004c 000 000
ABBAAABB 004c 000 000
AABAAAAB 004c 000 000
ABAAAABB 004c 000 000
ABAAAABA 004c 000 000
ABBAAAAB 004c 000 000
// NE corner is TileA
BAAABBBB 004f 000 000
AAAABBBB 004f 000 000
BAAAABBB 004f 000 000
AAAAABBB 004f 000 000
AAAAABAB 004f 000 000
BAAABAAB 004f 000 000
BAAABBBA 004f 000 000
BAAAABBA 004f 000 000
BAAAABAA 004f 000 000
AAAABABB 004f 000 000
BAAABABB 004f 000 000
BAAABBAA 004f 000 000
BAAABBAB 004f 000 000
AAAABBAB 004f 000 000
AAAABAAB 004f 000 000
BAAABABA 004f 000 000
BAAAABAB 004f 000 000
// SW corner is TileA
BBBBBAAA 004d 000 000
BBBBAAAA 004d 000 000
ABBBBAAA 004d 000 000
ABBBAAAA 004d 000 000
BAABBAAA 004d 000 000
BABBAAAA 004d 000 000
BABBBAAA 004d 000 000
BBAABAAA 004d 000 000
ABAABAAA 004d 000 000
BBBABAAA 004d 000 000
BBABAAAA 004d 000 000
ABBABAAA 004d 000 000
ABABAAAA 004d 000 000
BAABAAAA 004d 000 000
BABABAAA 004d 000 000
ABABBAAA 004d 000 000
BBABBAAA 004d 000 000
// NW Corner is TileB
BAAAAAAA 0054 000 000
// SE Corner is TileB
AAAABAAA 0056 000 000
// NE Corner is TileB
AABAAAAA 0055 000 000
// SW Corner is TileB
AAAAAABA 0057 000 000
// Stormcrow Autocorrect
AAABAAAB 0066 000 000
AAABAABB 0066 000 000
AAABABAB 0066 000 000
AAABABBB 0066 000 000
AAABBAAB 0066 000 000
AAABBABB 0066 000 000
AAABBBAB 0066 000 000
AAABBBBB 0066 000 000
AABAABAB 0066 000 000
AABAABBB 0066 000 000
AABABAAB 0066 000 000
AABABABB 0066 000 000
AABABBAB 0066 000 000
AABABBBB 0066 000 000
AABBAAAB 0066 000 000
AABBAABB 0066 000 000
AABBABAB 0066 000 000
AABBABBB 0066 000 000
AABBBAAB 0066 000 000
AABBBABB 0066 000 000
AABBBBAB 0066 000 000
AABBBBBB 0066 000 000
ABAAABAA 0066 000 000
ABAAABAB 0066 000 000
ABAAABBA 0066 000 000
ABAAABBB 0066 000 000
ABAABAAB 0066 000 000
ABAABABA 0066 000 000
ABAABABB 0066 000 000
ABAABBAA 0066 000 000
ABAABBAB 0066 000 000
ABAABBBA 0066 000 000
ABAABBBB 0066 000 000
ABABAAAB 0066 000 000
ABABAABA 0066 000 000
ABABAABB 0066 000 000
ABABABAA 0066 000 000
ABABABAB 0066 000 000
ABABABBA 0066 000 000
ABABABBB 0066 000 000
ABABBAAB 0066 000 000
ABABBABA 0066 000 000
ABABBABB 0066 000 000
ABABBBAA 0066 000 000
ABABBBAB 0066 000 000
ABABBBBA 0066 000 000
ABABBBBB 0066 000 000
ABBAABAA 0066 000 000
ABBAABAB 0066 000 000
ABBAABBA 0066 000 000
ABBAABBB 0066 000 000
ABBABAAB 0066 000 000
ABBABABA 0066 000 000
ABBABABB 0066 000 000
ABBABBAA 0066 000 000
ABBABBAB 0066 000 000
ABBABBBA 0066 000 000
ABBABBBB 0066 000 000
ABBBAAAB 0066 000 000
ABBBAABA 0066 000 000
ABBBAABB 0066 000 000
ABBBABAA 0066 000 000
ABBBABAB 0066 000 000
ABBBABBA 0066 000 000
ABBBABBB 0066 000 000
ABBBBAAB 0066 000 000
ABBBBABA 0066 000 000
ABBBBABB 0066 000 000
ABBBBBAA 0066 000 000
ABBBBBAB 0066 000 000
ABBBBBBA 0066 000 000
ABBBBBBB 0066 000 000
BAABAAAB 0066 000 000
BAABAABA 0066 000 000
BAABAABB 0066 000 000
BAABABAA 0066 000 000
BAABABAB 0066 000 000
BAABABBA 0066 000 000
BAABABBB 0066 000 000
BAABBAAB 0066 000 000
BAABBABA 0066 000 000
BAABBABB 0066 000 000
BAABBBAA 0066 000 000
BAABBBAB 0066 000 000
BAABBBBA 0066 000 000
BAABBBBB 0066 000 000
BABAABAA 0066 000 000
BABAABAB 0066 000 000
BABAABBA 0066 000 000
BABAABBB 0066 000 000
BABABAAB 0066 000 000
BABABABA 0066 000 000
BABABABB 0066 000 000
BABABBAA 0066 000 000
BABABBAB 0066 000 000
BABABBBA 0066 000 000
BABABBBB 0066 000 000
BABBAAAB 0066 000 000
